"id","total","step1","step2","step3","step4","step5","step6"
"1","71.75132703781128","0.001","0.028","0.001","23.585","48.133","0.001"
"2","35.97809600830078","0.001","0.033","0.001","26.89","9.051","0.0"
"3","27.461270570755005","0.0","0.012","0.001","23.589","3.857","0.0"
"4","38.732248067855835","0.001","0.024","0.001","10.082","28.622","0.0"
"6","28.15823745727539","0.001","0.033","0.001","15.082","13.04","0.0"
"7","46.98056101799011","0.001","0.018","0.001","16.584","30.375","0.0"
"8","13.10569143295288","0.0","0.014","0.001","8.282","4.807","0.001"
"9","74.678701877594","0.001","0.017","0.001","18.268","56.392","0.0"
"10","9.534693241119385","0.001","0.013","0.001","5.426","4.092","0.0"
"11","32.919679403305054","0.001","6.545","0.001","6.81","19.561","0.0"
"12","67.45556974411011","0.001","0.016","0.001","13.17","54.267","0.001"
"13","21.6724271774292","0.001","0.022","0.001","15.673","5.974","0.001"
"14","34.63497233390808","0.001","0.016","0.001","15.497","19.119","0.001"
"15","35.85596680641174","0.001","0.012","0.001","18.907","16.934","0.0"
"16","85.73297381401062","0.001","0.013","0.001","45.175","40.542","0.0"
"17","24.58553171157837","0.001","0.029","0.001","11.0","13.554","0.0"
"18","37.63181710243225","0.0","0.013","0.001","15.887","21.729","0.0"
"19","56.04943037033081","0.001","0.015","0.001","15.862","40.169","0.0"
"20","57.38373422622681","0.0","0.016","0.001","15.863","41.503","0.0"
"21","45.57145428657532","0.001","0.022","0.001","8.378","37.168","0.0"
"22","25.96842885017395","0.0","0.016","0.001","15.549","10.401","0.0"
"23","17.603129148483276","0.0","0.011","0.001","10.211","7.378","0.001"
"24","21.335227251052856","0.001","0.023","0.001","15.182","6.127","0.0"
"25","8.195492267608643","0.001","0.021","0.001","3.351","4.821","0.001"
"26","25.597588062286377","0.001","0.02","0.001","9.905","15.669","0.0"
"33","35.69008731842041","0.001","0.011","0.001","14.816","20.859","0.001"
"34","82.77921342849731","14.891","0.044","0.001","19.173","48.669","0.0"
"35","37.02980637550354","0.0","0.013","0.001","15.648","21.366","0.0"
"36","68.20382976531982","0.001","0.934","0.001","18.799","48.469","0.001"
"37","15.477784156799316","0.001","0.009","0.001","4.724","10.742","0.0"
"38","20.953359603881836","0.001","0.011","0.001","11.474","9.466","0.0"
"39","26.076919078826904","0.001","0.012","0.001","17.133","8.928","0.0"
"40","28.18841552734375","0.001","0.015","0.001","17.332","10.838","0.001"
"41","61.47728896141052","0.001","0.012","0.001","16.242","45.22","0.0"
"42","40.19666361808777","0.001","0.012","0.001","11.523","28.659","0.0"
"43","27.365077257156372","0.0","0.014","0.001","12.96","14.388","0.0"
"44","15.615365743637085","0.001","0.016","0.001","5.207","10.389","0.0"
"45","12.728371143341064","0.0","0.011","0.001","6.996","5.718","0.001"
"46","69.36520051956177","0.001","0.022","0.001","28.006","41.333","0.0"
"47","79.16914343833923","0.001","0.025","0.001","33.093","46.049","0.001"
"48","52.0988245010376","0.001","0.025","0.001","18.295","33.777","0.0"
"49","13.276991128921509","0.001","0.018","0.001","8.824","4.433","0.0"
"50","19.048210620880127","0.001","0.02","0.001","11.112","7.913","0.0"
"51","46.72386074066162","0.001","0.023","0.001","25.444","21.253","0.0"
"52","31.519391536712646","0.001","0.023","0.001","17.318","14.175","0.001"
"53","19.478150606155396","0.001","0.026","0.001","9.679","9.771","0.001"
"54","65.92252659797668","0.001","0.022","0.001","16.2","49.698","0.0"
"55","137.99819016456604","0.0","0.018","0.001","15.159","122.818","0.0"
"57","28.41440200805664","0.0","0.02","0.001","12.629","15.763","0.001"
"58","52.551814794540405","0.001","0.021","0.001","27.296","25.232","0.0"
"64","20.438106775283813","0.001","1.209","0.001","16.822","2.404","0.0"
"65","64.19012355804443","0.0","0.997","0.001","32.222","30.969","0.0"
"66","21.398383617401123","0.001","1.091","0.001","13.923","6.381","0.0"
"67","17.211162090301514","0.001","1.977","0.001","8.732","6.499","0.0"
"68","57.798704385757446","0.001","0.987","0.001","20.098","36.71","0.0"
"69","19.098753452301025","0.001","1.083","0.001","8.939","9.074","0.0"
"70","29.422913312911987","0.001","1.073","0.001","20.267","8.081","0.0"
"71","34.423725605010986","0.001","1.098","0.001","10.863","22.46","0.0"
"72","28.261326789855957","0.001","0.912","0.001","6.378","20.968","0.001"
"73","33.2360725402832","0.001","0.969","0.001","6.547","25.717","0.001"
"74","19.28714084625244","0.001","1.153","0.001","7.364","10.767","0.001"
"75","67.34613633155823","0.001","1.013","0.001","5.802","60.528","0.001"
"76","27.93213701248169","0.001","1.119","0.001","18.661","8.149","0.001"
"77","17.48023819923401","0.001","0.994","0.001","7.815","8.668","0.0"
"78","30.498996257781982","0.0","0.913","0.001","5.755","23.829","0.0"
"79","7.933718919754028","0.0","1.001","0.001","3.94","2.99","0.0"
"80","14.902738571166992","0.001","1.052","0.001","8.308","5.539","0.001"
"81","71.36339807510376","0.001","1.05","0.001","12.407","57.903","0.001"
"82","27.236990928649902","0.001","1.129","0.001","4.63","21.475","0.0"
"83","66.47172093391418","0.001","1.159","0.001","11.195","54.114","0.001"
"84","13.76333999633789","0.001","1.036","0.001","7.171","5.553","0.0"
"85","72.06417918205261","0.0","1.049","0.001","5.421","65.592","0.0"
"86","101.42662405967712","0.0","0.976","0.001","20.268","80.179","0.0"
"87","77.59742641448975","0.001","1.956","0.001","24.051","51.588","0.001"
"88","33.11988115310669","0.001","1.022","0.001","13.453","18.641","0.001"
"89","47.57387566566467","0.001","0.867","0.001","34.804","11.901","0.001"
"90","22.752256870269775","0.0","0.959","0.001","4.419","17.372","0.0"
"91","36.360371351242065","0.001","0.856","0.001","8.131","27.371","0.0"
"92","20.297632217407227","0.001","1.062","0.001","10.423","8.81","0.001"
"93","26.515434741973877","0.001","1.126","0.001","10.093","15.294","0.0"
"94","122.57803463935852","0.001","1.178","0.001","14.026","107.371","0.001"
"95","39.572348833084106","0.001","0.976","0.001","12.534","26.059","0.0"
"96","110.55325770378113","0.001","1.236","0.001","20.94","88.375","0.0"
"97","53.06036877632141","0.001","1.127","0.001","23.946","27.984","0.001"
"98","22.204675436019897","0.0","1.122","0.001","5.79","15.29","0.0"
"99","47.16819667816162","0.0","1.146","0.001","22.682","23.338","0.0"
"100","56.8528368473053","0.001","1.116","0.001","10.136","45.598","0.0"
"101","27.865865468978882","0.001","1.015","0.001","13.553","13.294","0.001"
"102","32.77623534202576","0.001","1.178","0.001","7.021","24.573","0.001"
"103","60.21589994430542","0.001","1.01","0.001","11.514","47.689","0.001"
"104","29.606029987335205","0.001","0.944","0.001","9.631","19.028","0.0"
"105","15.294302225112915","0.0","1.18","0.001","9.053","5.058","0.001"
"106","34.97818160057068","0.001","2.259","0.001","14.124","18.593","0.001"
